"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"MOLINO DALLA GIOVANNA FARINA 00 LA NAPOLETANA 25 KG","MOLINO DALLA GIOVANNA FARINA 00 LA NAPOLETANA","25 KG","","","MOLINO DALLA GIOVANNA","harinas","FALSE"
"MOLINA DALLA GIOVANNA FARINA 00 R PER PIZZA 25 KG GREEN","MOLINA DALLA GIOVANNA FARINA 00 R PER PIZZA GREEN","25 KG","","","MOLINO DALLA GIOVANNA","harinas","FALSE"
"MOLINA DALLAGIOVANNA FARINA 00 S PIZZA KG ROJA","MOLINA DALLAGIOVANNA FARINA 00 S PIZZA KG ROJA","","","","MOLINO DALLA GIOVANNA","harinas","extracted_images/fotos harina_0.png"
"MOLINA DALLA GIOVANNA FARINA PASTA GOLD TIPO 00 25 KG","MOLINA DALLA GIOVANNA FARINA PASTA GOLD TIPO 00","25 KG","","","MOLINO DALLA GIOVANNA","harinas","FALSE"
"MOLINA DALLA GIOVANNA SEMOLA RIMACINATA 25 KG","MOLINA DALLA GIOVANNA SEMOLA RIMACINATA","25 KG","","","MOLINO DALLA GIOVANNA","harinas","FALSE"
"MOLINO DALLA GIOVANNA SEMOLA EXTRA 25 KG","MOLINO DALLA GIOVANNA SEMOLA EXTRA","25 KG","","","MOLINO DALLA GIOVANNA","harinas","FALSE"
"MOLINO DALLA GIOVANNA GRANITO 5 KG","MOLINO DALLA GIOVANNA GRANITO","5 KG","","","MOLINO DALLA GIOVANNA","harinas","FALSE"
"LOTUS ORIG. BISC.CARAMELLATO GR 125X 20","LOTUS ORIG. BISC.CARAMELLATO GR 125X 20","","","","LOTUS BISCOFF","galletas","extracted_images/fotos galletas lotus biscoff_0.jpeg"
"LOTUS ORIG. BISC.CARAMELLATO GR 250 X10","LOTUS ORIG. BISC.CARAMELLATO GR 250","","10","","LOTUS BISCOFF","galletas","FALSE"
"LOTUS ORIG.BISC. CARAM. POCKET 2 PZ X 6 X 12","LOTUS ORIG.BISC. CARAM. POCKET 2 PZ X 12","","6","","LOTUS BISCOFF","galletas","FALSE"
"LOTUS BISCOFF SANDWICH BISC. CREMA GR 150 X 9","LOTUS BISCOFF SANDWICH BISC. CREMA GR 150","","9","","LOTUS BISCOFF","galletas","FALSE"
